minute,open,high,low,close,obs_count
2026-03-11 14:49:00,11.65,11.65,11.65,11.65,4
2026-03-11 14:50:00,11.55,11.55,11.0,11.0,4
2026-03-11 14:53:00,9.25,9.25,9.25,9.25,3
2026-03-11 14:54:00,9.4,9.45,9.4,9.45,3
2026-03-11 14:55:00,8.05,8.1,8.05,8.1,3
2026-03-11 14:56:00,7.5,7.55,7.5,7.55,3
2026-03-11 14:57:00,8.7,8.75,8.7,8.75,3
2026-03-11 14:58:00,9.35,9.35,9.3,9.3,3
2026-03-11 14:59:00,9.5,9.5,9.35,9.35,3
2026-03-11 15:00:00,8.9,8.9,8.9,8.9,1
2026-03-11 15:01:00,8.0,8.05,7.95,8.05,5
2026-03-11 15:02:00,11.15,11.15,11.15,11.15,4
2026-03-11 15:03:00,12.9,12.9,12.9,12.9,4
2026-03-11 15:04:00,10.95,10.95,10.95,10.95,4
