timestamp,minute,occ,mark,line_no,raw_line
2026-03-11 15:05:58,2026-03-11 15:05:00,SPXW260311P06760000,9.2,5446,"2026-03-11 15:05:58,241 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=9.10 ask=9.30 mark=9.20 last=9.20"
2026-03-11 15:06:05,2026-03-11 15:06:00,SPXW260311P06760000,9.65,5460,"2026-03-11 15:06:05,431 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=9.50 ask=9.80 mark=9.65 last=9.60"
2026-03-11 15:06:05,2026-03-11 15:06:00,SPXW260311P06760000,9.65,5461,"2026-03-11 15:06:05,432 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.40 mark=9.65 arm_trigger=8.70 stop=8.20 is_armed=True"
2026-03-11 15:06:05,2026-03-11 15:06:00,SPXW260311P06760000,9.65,5462,"2026-03-11 15:06:05,432 | INFO | SPX0DTE | [SPX0DTE] trailing stop moved | occ=SPXW260311P06760000 old_stop=9.45 new_stop=9.45 mark=9.65"
2026-03-11 15:06:07,2026-03-11 15:06:00,SPXW260311P06760000,9.85,5476,"2026-03-11 15:06:07,887 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=9.70 ask=10.00 mark=9.85 last=9.90"
2026-03-11 15:07:01,2026-03-11 15:07:00,SPXW260311P06760000,8.05,5491,"2026-03-11 15:07:01,175 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.00 ask=8.10 mark=8.05 last=8.30"
2026-03-11 15:07:01,2026-03-11 15:07:00,SPXW260311P06760000,8.2,5504,"2026-03-11 15:07:01,671 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.10 ask=8.30 mark=8.20 last=8.30"
2026-03-11 15:07:01,2026-03-11 15:07:00,SPXW260311P06760000,8.2,5505,"2026-03-11 15:07:01,672 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.40 mark=8.20 arm_trigger=8.70 stop=9.45 is_armed=True"
2026-03-11 15:07:01,2026-03-11 15:07:00,SPXW260311P06760000,8.2,5506,"2026-03-11 15:07:01,672 | INFO | SPX0DTE | [SPX0DTE] closing trade | occ=SPXW260311P06760000 reason=TRAIL_SL entry=8.40 mark=8.20 stop=9.45 exit=9.45"
2026-03-11 15:09:00,2026-03-11 15:09:00,SPXW260311P06760000,8.3,5548,"2026-03-11 15:09:00,884 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.20 ask=8.40 mark=8.30 last=8.20"
2026-03-11 15:09:01,2026-03-11 15:09:00,SPXW260311P06760000,8.3,5561,"2026-03-11 15:09:01,055 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.20 ask=8.40 mark=8.30 last=8.20"
2026-03-11 15:09:01,2026-03-11 15:09:00,SPXW260311P06760000,8.3,5562,"2026-03-11 15:09:01,055 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=8.30 arm_trigger=8.90 stop=8.40 is_armed=False"
2026-03-11 15:10:01,2026-03-11 15:10:00,SPXW260311P06760000,7.9,5576,"2026-03-11 15:10:01,291 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=7.80 ask=8.00 mark=7.90 last=8.20"
2026-03-11 15:10:32,2026-03-11 15:10:00,SPXW260311P06760000,7.95,5590,"2026-03-11 15:10:32,862 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=7.90 ask=8.00 mark=7.95 last=7.90"
2026-03-11 15:10:32,2026-03-11 15:10:00,SPXW260311P06760000,7.95,5591,"2026-03-11 15:10:32,862 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=7.95 arm_trigger=8.90 stop=8.40 is_armed=False"
2026-03-11 15:11:01,2026-03-11 15:11:00,SPXW260311P06760000,8.05,5605,"2026-03-11 15:11:01,360 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.00 ask=8.10 mark=8.05 last=7.90"
2026-03-11 15:11:02,2026-03-11 15:11:00,SPXW260311P06760000,8.1,5619,"2026-03-11 15:11:02,284 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.00 ask=8.20 mark=8.10 last=8.00"
2026-03-11 15:11:02,2026-03-11 15:11:00,SPXW260311P06760000,8.1,5620,"2026-03-11 15:11:02,284 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=8.10 arm_trigger=8.90 stop=8.40 is_armed=False"
2026-03-11 15:12:01,2026-03-11 15:12:00,SPXW260311P06760000,9.05,5635,"2026-03-11 15:12:01,372 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=9.00 ask=9.10 mark=9.05 last=9.00"
2026-03-11 15:12:01,2026-03-11 15:12:00,SPXW260311P06760000,9.05,5636,"2026-03-11 15:12:01,373 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=9.05 arm_trigger=8.90 stop=8.40 is_armed=True"
2026-03-11 15:12:01,2026-03-11 15:12:00,SPXW260311P06760000,9.05,5637,"2026-03-11 15:12:01,373 | INFO | SPX0DTE | [SPX0DTE] trailing stop moved | occ=SPXW260311P06760000 old_stop=8.85 new_stop=8.85 mark=9.05"
2026-03-11 15:12:01,2026-03-11 15:12:00,SPXW260311P06760000,9.0,5650,"2026-03-11 15:12:01,725 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.90 ask=9.10 mark=9.00 last=9.10"
2026-03-11 15:13:00,2026-03-11 15:13:00,SPXW260311P06760000,9.65,5665,"2026-03-11 15:13:00,846 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=9.50 ask=9.80 mark=9.65 last=9.60"
2026-03-11 15:13:00,2026-03-11 15:13:00,SPXW260311P06760000,9.65,5678,"2026-03-11 15:13:00,930 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=9.50 ask=9.80 mark=9.65 last=9.60"
2026-03-11 15:13:00,2026-03-11 15:13:00,SPXW260311P06760000,9.65,5679,"2026-03-11 15:13:00,930 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=9.65 arm_trigger=8.90 stop=8.85 is_armed=True"
2026-03-11 15:13:00,2026-03-11 15:13:00,SPXW260311P06760000,9.65,5680,"2026-03-11 15:13:00,930 | INFO | SPX0DTE | [SPX0DTE] trailing stop moved | occ=SPXW260311P06760000 old_stop=9.45 new_stop=9.45 mark=9.65"
2026-03-11 15:14:01,2026-03-11 15:14:00,SPXW260311P06760000,10.35,5695,"2026-03-11 15:14:01,467 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.20 ask=10.50 mark=10.35 last=10.20"
2026-03-11 15:14:01,2026-03-11 15:14:00,SPXW260311P06760000,10.35,5696,"2026-03-11 15:14:01,467 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=10.35 arm_trigger=8.90 stop=9.45 is_armed=True"
2026-03-11 15:14:01,2026-03-11 15:14:00,SPXW260311P06760000,10.35,5697,"2026-03-11 15:14:01,467 | INFO | SPX0DTE | [SPX0DTE] trailing stop moved | occ=SPXW260311P06760000 old_stop=10.15 new_stop=10.15 mark=10.35"
2026-03-11 15:14:01,2026-03-11 15:14:00,SPXW260311P06760000,10.35,5710,"2026-03-11 15:14:01,927 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.20 ask=10.50 mark=10.35 last=10.20"
2026-03-11 15:15:54,2026-03-11 15:15:00,SPXW260311P06760000,10.4,5724,"2026-03-11 15:15:54,900 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.30 ask=10.50 mark=10.40 last=10.50"
