occ,minute,open,high,low,close
SPXW260311C06760000,2026-03-11 14:42:00,9.5,9.6,9.5,9.6
SPXW260311C06760000,2026-03-11 14:43:00,9.5,9.7,9.5,9.7
SPXW260311C06760000,2026-03-11 14:44:00,9.9,9.9,9.9,9.9
SPXW260311C06760000,2026-03-11 14:45:00,10.1,10.1,10.1,10.1
SPXW260311C06760000,2026-03-11 14:46:00,10.8,11.1,10.8,11.0
SPXW260311C06760000,2026-03-11 14:47:00,10.1,10.1,10.1,10.1
SPXW260311C06760000,2026-03-11 15:26:00,7.5,7.5,7.45,7.45
SPXW260311C06760000,2026-03-11 15:27:00,7.2,7.2,7.2,7.2
SPXW260311C06760000,2026-03-11 15:30:00,7.6,7.6,7.4,7.4
SPXW260311C06760000,2026-03-11 15:31:00,6.4,6.5,6.4,6.5
SPXW260311C06765000,2026-03-11 12:46:00,15.6,15.6,15.6,15.6
SPXW260311C06765000,2026-03-11 12:47:00,16.9,16.9,16.9,16.9
SPXW260311C06765000,2026-03-11 12:48:00,16.4,16.4,16.4,16.4
SPXW260311C06765000,2026-03-11 12:51:00,16.55,16.7,16.55,16.7
SPXW260311C06765000,2026-03-11 12:52:00,16.95,16.95,16.95,16.95
SPXW260311C06765000,2026-03-11 12:53:00,16.6,16.6,16.6,16.6
SPXW260311C06765000,2026-03-11 14:36:00,9.0,9.85,9.0,9.85
SPXW260311C06765000,2026-03-11 14:37:00,9.35,9.35,9.35,9.35
SPXW260311C06765000,2026-03-11 14:39:00,8.7,8.9,8.7,8.9
SPXW260311C06765000,2026-03-11 14:40:00,7.65,7.65,7.5,7.5
SPXW260311C06770000,2026-03-11 12:39:00,13.05,13.05,13.05,13.05
SPXW260311C06770000,2026-03-11 12:40:00,14.0,14.0,14.0,14.0
SPXW260311C06770000,2026-03-11 12:41:00,14.15,14.15,14.15,14.15
SPXW260311C06770000,2026-03-11 12:42:00,15.85,15.85,15.85,15.85
SPXW260311C06770000,2026-03-11 12:43:00,15.0,15.0,15.0,15.0
SPXW260311C06770000,2026-03-11 12:58:00,15.2,15.2,15.2,15.2
SPXW260311C06770000,2026-03-11 12:59:00,16.3,16.3,16.3,16.3
SPXW260311C06770000,2026-03-11 13:01:00,16.1,16.1,16.1,16.1
SPXW260311C06770000,2026-03-11 15:40:00,5.05,6.3,5.05,6.3
SPXW260311C06770000,2026-03-11 15:41:00,5.65,5.65,5.6,5.6
SPXW260311C06770000,2026-03-11 15:42:00,3.95,3.95,3.95,3.95
SPXW260311C06770000,2026-03-11 15:44:00,4.6,4.6,4.6,4.6
SPXW260311C06770000,2026-03-11 15:45:00,5.9,5.9,4.9,4.9
SPXW260311C06770000,2026-03-11 15:46:00,4.5,4.5,4.4,4.4
SPXW260311C06775000,2026-03-11 13:03:00,12.8,12.8,12.8,12.8
SPXW260311C06775000,2026-03-11 13:04:00,13.55,13.55,13.55,13.55
SPXW260311C06775000,2026-03-11 13:05:00,12.35,12.35,12.35,12.35
SPXW260311C06775000,2026-03-11 13:06:00,13.0,13.0,13.0,13.0
SPXW260311C06775000,2026-03-11 13:07:00,13.8,13.8,13.8,13.8
SPXW260311C06775000,2026-03-11 13:08:00,14.2,14.2,14.2,14.2
SPXW260311C06775000,2026-03-11 13:09:00,12.85,12.85,12.85,12.85
SPXW260311C06775000,2026-03-11 13:10:00,11.45,11.45,11.45,11.45
SPXW260311C06775000,2026-03-11 13:11:00,11.05,11.05,11.05,11.05
SPXW260311C06775000,2026-03-11 13:12:00,10.4,10.4,10.4,10.4
SPXW260311C06775000,2026-03-11 13:13:00,10.45,10.45,10.45,10.45
SPXW260311C06775000,2026-03-11 13:14:00,11.15,11.15,11.15,11.15
SPXW260311C06775000,2026-03-11 13:16:00,11.15,11.25,11.15,11.25
SPXW260311C06775000,2026-03-11 13:17:00,11.05,11.05,11.05,11.05
SPXW260311C06775000,2026-03-11 13:18:00,10.85,10.85,10.85,10.85
SPXW260311C06775000,2026-03-11 13:19:00,9.25,9.25,9.25,9.25
SPXW260311C06775000,2026-03-11 13:21:00,9.6,9.6,9.55,9.55
SPXW260311C06775000,2026-03-11 13:22:00,11.1,11.1,11.1,11.1
SPXW260311C06775000,2026-03-11 13:23:00,10.9,10.9,10.9,10.9
SPXW260311C06775000,2026-03-11 13:24:00,11.15,11.15,11.15,11.15
SPXW260311C06775000,2026-03-11 13:25:00,11.85,11.85,11.85,11.85
SPXW260311C06775000,2026-03-11 13:26:00,12.25,12.25,12.25,12.25
SPXW260311C06775000,2026-03-11 13:31:00,12.0,12.0,12.0,12.0
SPXW260311C06775000,2026-03-11 13:32:00,11.7,11.7,11.7,11.7
SPXW260311C06775000,2026-03-11 13:33:00,12.15,12.15,12.15,12.15
SPXW260311C06775000,2026-03-11 13:34:00,12.3,12.3,12.3,12.3
SPXW260311C06775000,2026-03-11 13:35:00,11.5,11.5,11.5,11.5
SPXW260311C06775000,2026-03-11 13:36:00,10.2,10.2,10.2,10.2
