Rank,Company,Symbol,Allocation (%),Cumulative Weight (%),as of
1,NVIDIA Corp,NVDA,10.23,10.23,2025-11-01
2,Apple Inc,AAPL,8.34,18.57,2025-11-01
3,Microsoft Corp,MSFT,8.0,26.57,2025-11-01
4,Broadcom Inc,AVGO,5.98,32.55,2025-11-01
5,Amazon.com Inc,AMZN,5.41,37.96,2025-11-01
6,Tesla Inc,TSLA,3.46,41.42,2025-11-01
7,Alphabet Inc Class A,GOOGL,3.4,44.82,2025-11-01
8,Alphabet Inc Class C,GOOG,3.18,48.0,2025-11-01
9,Meta Platforms Inc,META,2.92,50.92,2025-11-01
10,Netflix Inc,NFLX,2.43,53.35,2025-11-01
11,Palantir Technologies Inc,PLTR,2.33,55.68,2025-11-01
12,Advanced Micro Devices Inc,AMD,2.13,57.81,2025-11-01
13,Costco Wholesale Corp,COST,2.07,59.88,2025-11-01
14,Cisco Systems Inc,CSCO,1.48,61.36,2025-11-01
15,Micron Technology Inc,MU,1.28,62.64,2025-11-01
16,T-Mobile US Inc,TMUS,1.21,63.85,2025-11-01
17,Shopify Inc,SHOP,1.09,64.94,2025-11-01
18,PepsiCo Inc,PEP,1.02,65.96,2025-11-01
18,Lam Research Corp,LRCX,1.02,66.98,2025-11-01
20,Linde PLC,LIN,1.0,67.98,2025-11-01
20,AppLovin Corp,APP,1.0,68.98,2025-11-01
20,QUALCOMM Inc,QCOM,1.0,69.98,2025-11-01
23,Intuitive Surgical Inc,ISRG,0.98,70.96,2025-11-01
24,Intuit Inc,INTU,0.95,71.91,2025-11-01
24,Applied Materials Inc,AMAT,0.95,72.86,2025-11-01
26,Intel Corp,INTC,0.9,73.76,2025-11-01
27,Booking Holdings Inc,BKNG,0.84,74.6,2025-11-01
28,Amgen Inc,AMGN,0.82,75.42,2025-11-01
28,KLA Corp,KLAC,0.82,76.24,2025-11-01
30,Gilead Sciences Inc,GILD,0.76,77.0,2025-11-01
30,Texas Instruments Inc,TXN,0.76,77.76,2025-11-01
32,Palo Alto Networks Inc,PANW,0.75,78.51,2025-11-01
33,Adobe Inc,ADBE,0.74,79.25,2025-11-01
34,Crowdstrike Holdings Inc,CRWD,0.7,79.95,2025-11-01
35,Honeywell International Inc,HON,0.65,80.6,2025-11-01
36,MercadoLibre Inc,MELI,0.6,81.2,2025-11-01
36,Constellation Energy Corp,CEG,0.6,81.8,2025-11-01
38,Analog Devices Inc,ADI,0.59,82.39,2025-11-01
39,Vertex Pharmaceuticals Inc,VRTX,0.56,82.95,2025-11-01
40,Automatic Data Processing Inc,ADP,0.54,83.49,2025-11-01
41,Comcast Corp,CMCSA,0.52,84.01,2025-11-01
41,DoorDash Inc,DASH,0.52,84.53,2025-11-01
43,Cadence Design Systems Inc,CDNS,0.47,85.0,2025-11-01
43,Starbucks Corp,SBUX,0.47,85.47,2025-11-01
45,PDD Holdings Inc,PDD,0.46,85.93,2025-11-01
45,ASML Holding NV,ASML,0.46,86.39,2025-11-01
47,Synopsys Inc,SNPS,0.43,86.82,2025-11-01
48,Marvell Technology Inc,MRVL,0.41,87.23,2025-11-01
48,O'Reilly Automotive Inc,ORLY,0.41,87.64,2025-11-01
50,Mondelez International Inc,MDLZ,0.38,88.02,2025-11-01
