Symbol,Interval,Total_Trades,Total_Wins,Success_Rate(%),Total_Profit($),Largest_Win($),Largest_Loss($),Profit_Per_Trade($),Win_Rate(%)
AAPL,5min,13,11,84.62,1484.92,368.0,-63.0,114.22,84.62
MSFT,5min,7,5,71.43,-25.0,437.0,-1061.5,-3.57,71.43
AMZN,5min,12,9,75.0,214.14,309.0,-591.0,17.84,75.0
NVDA,5min,28,26,92.86,2867.66,301.0,-207.0,102.42,92.86
GOOGL,5min,14,12,85.71,1136.65,395.0,-636.0,81.19,85.71
META,5min,15,13,86.67,3233.5,510.0,-238.5,215.57,86.67
TSLA,5min,52,49,94.23,7204.4,605.0,-237.0,138.55,94.23
AVGO,5min,33,33,100.0,7448.46,1426.5,11.85,225.71,100.0
ADBE,5min,26,22,84.62,3028.83,395.0,-32.42,116.49,84.62
CSCO,5min,16,16,100.0,352.13,60.5,2.07,22.01,100.0
CRM,5min,22,20,90.91,2414.6,315.0,-136.5,109.75,90.91
ORCL,5min,37,36,97.3,3176.82,290.0,-515.9,85.86,97.3
INTC,5min,37,34,91.89,375.97,62.29,-15.09,10.16,91.89
AMD,5min,38,36,94.74,3156.04,527.0,-795.34,83.05,94.74
QCOM,5min,29,28,96.55,2105.96,204.0,-46.5,72.62,96.55
TXN,5min,32,32,100.0,2016.14,225.5,2.0,63.0,100.0
MU,5min,53,53,100.0,5301.07,314.45,6.43,100.02,100.0
AMAT,5min,32,31,96.88,2722.44,342.0,-66.0,85.08,96.88
LRCX,5min,34,31,91.18,1481.09,202.5,-375.06,43.56,91.18
KLAC,5min,12,8,66.67,3390.5,1593.0,-1029.0,282.54,66.67
COST,5min,10,9,90.0,4110.66,913.5,-10.86,411.07,90.0
TMUS,5min,9,7,77.78,215.5,108.0,-92.0,23.94,77.78
BKNG,5min,8,5,62.5,12578.0,7469.0,-1876.0,1572.25,62.5
MAR,5min,22,16,72.73,1404.79,384.0,-275.0,63.85,72.73
ROST,5min,14,10,71.43,-606.5,103.5,-736.5,-43.32,71.43
ORLY,5min,14,12,85.71,287.75,75.0,-44.5,20.55,85.71
REGN,5min,7,4,57.14,-1784.5,425.0,-1931.0,-254.93,57.14
VRTX,5min,18,16,88.89,3652.24,666.5,-180.0,202.9,88.89
GILD,5min,22,21,95.45,1177.6,155.0,-60.5,53.53,95.45
AMGN,5min,7,6,85.71,984.0,248.0,-38.0,140.57,85.71
BIIB,5min,29,26,89.66,1605.24,256.0,-167.0,55.35,89.66
ILMN,5min,34,34,100.0,1703.76,148.75,2.76,50.11,100.0
MRNA,5min,33,30,90.91,251.67,39.55,-17.0,7.63,90.91
SBUX,5min,18,13,72.22,670.37,108.0,-53.0,37.24,72.22
NKE,5min,14,11,78.57,353.25,70.5,-43.5,25.23,78.57
JD,5min,23,21,91.3,196.0,36.5,-35.5,8.52,91.3
BIDU,5min,17,13,76.47,1074.18,182.5,-29.0,63.19,76.47
CMCSA,5min,15,11,73.33,84.98,20.0,-16.0,5.67,73.33
CHTR,5min,16,15,93.75,694.33,168.75,-362.0,43.4,93.75
HON,5min,18,16,88.89,999.3,151.0,-17.5,55.52,88.89
FAST,5min,9,8,88.89,114.0,45.0,-18.0,12.67,88.89
CTAS,5min,14,12,85.71,735.94,156.0,-21.0,52.57,85.71
ISRG,5min,9,9,100.0,3025.51,571.5,210.0,336.17,100.0
ALGN,5min,21,17,80.95,883.57,140.1,-133.0,42.07,80.95
IDXX,5min,27,27,100.0,8516.11,1014.0,17.23,315.41,100.0
PYPL,5min,23,20,86.96,431.53,84.0,-42.5,18.76,86.96
NFLX,5min,26,26,100.0,1070.37,134.0,2.49,41.17,100.0
EA,5min,7,5,71.43,100.22,54.0,-40.0,14.32,71.43
TTWO,5min,11,9,81.82,656.26,282.06,-118.5,59.66,81.82
EXC,5min,9,8,88.89,175.0,59.0,-13.0,19.44,88.89
XEL,5min,5,4,80.0,86.0,35.5,-26.5,17.2,80.0
WDAY,5min,22,20,90.91,1516.59,198.0,-37.0,68.94,90.91
SNPS,5min,45,41,91.11,4774.16,599.5,-160.0,106.09,91.11
CDNS,5min,21,19,90.48,2386.87,349.0,-133.5,113.66,90.48
MRVL,5min,29,27,93.1,940.83,124.0,-233.5,32.44,93.1
PANW,5min,23,21,91.3,1267.1,173.0,-8.0,55.09,91.3
FTNT,5min,9,7,77.78,289.0,76.0,-8.0,32.11,77.78
ZS,5min,26,22,84.62,3048.1,565.5,-227.0,117.23,84.62
CRWD,5min,15,12,80.0,2194.36,646.5,-1143.5,146.29,80.0
DDOG,5min,37,34,91.89,1838.24,260.5,-147.5,49.68,91.89
TEAM,5min,22,21,95.45,1524.88,334.78,-27.0,69.31,95.45
NET,5min,14,13,92.86,1937.17,765.0,-699.0,138.37,92.86
OKTA,5min,16,14,87.5,730.94,82.5,-24.0,45.68,87.5
MDB,5min,19,17,89.47,3529.21,573.5,-582.0,185.75,89.47
SNOW,5min,27,23,85.19,1818.21,413.5,-551.5,67.34,85.19
DASH,5min,27,24,88.89,2467.3,264.5,-120.0,91.38,88.89
UBER,5min,21,20,95.24,879.94,144.01,-64.0,41.9,95.24
LYFT,5min,40,37,92.5,324.51,28.0,-9.0,8.11,92.5
ABNB,5min,25,23,92.0,1045.69,146.0,-52.99,41.83,92.0
ROKU,5min,17,12,70.59,553.68,162.0,-282.5,32.57,70.59
PINS,5min,25,22,88.0,217.6,38.5,-4.5,8.7,88.0
SNAP,5min,50,48,96.0,133.57,9.5,-10.0,2.67,96.0
TWLO,5min,23,19,82.61,896.48,121.5,-167.0,38.98,82.61
ZM,5min,18,15,83.33,525.44,104.5,-61.5,29.19,83.33
