side,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_action,combo_id,symbol,interval,long_threshold,short_threshold,min_prob_advantage,volume_multiplier
short,2025-12-01 10:00:00-05:00,2025-12-01 10:20:00-05:00,234.8775,236.192374,100.0,-131.48740000000032,EXIT_STOP_LOSS,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-01 10:30:00-05:00,2025-12-01 10:55:00-05:00,235.595,237.0346,100.0,-143.9600000000013,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-01 11:00:00-05:00,2025-12-01 11:25:00-05:00,236.51,236.19,100.0,31.999999999999318,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-01 14:05:00-05:00,2025-12-01 14:25:00-05:00,240.15,239.1808,100.0,96.92000000000007,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-01 15:10:00-05:00,2025-12-01 15:40:00-05:00,240.1745,240.65,100.0,-47.55000000000109,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-02 09:30:00-05:00,2025-12-02 09:40:00-05:00,240.72,241.82,100.0,-109.99999999999943,EXIT_STOP_LOSS,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-02 10:10:00-05:00,2025-12-02 10:25:00-05:00,240.72,238.845,100.0,187.5,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-02 14:05:00-05:00,2025-12-02 14:40:00-05:00,239.95,239.165,100.0,78.49999999999966,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
long,2025-12-03 09:45:00-05:00,2025-12-03 10:35:00-05:00,230.25,235.385,100.0,513.4999999999991,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-03 13:20:00-05:00,2025-12-03 13:35:00-05:00,233.3252,232.675,100.0,65.01999999999839,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
long,2025-12-03 14:20:00-05:00,2025-12-03 15:25:00-05:00,232.54,233.925,100.0,138.50000000000193,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
long,2025-12-04 09:50:00-05:00,2025-12-04 10:40:00-05:00,224.75,226.24,100.0,149.0000000000009,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-04 12:50:00-05:00,2025-12-04 13:15:00-05:00,226.68,226.4061,100.0,27.38999999999976,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
long,2025-12-04 15:05:00-05:00,2025-12-04 15:15:00-05:00,226.47,225.805,100.0,-66.4999999999992,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-05 09:35:00-05:00,2025-12-05 09:45:00-05:00,230.87,231.84,100.0,-96.99999999999989,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
long,2025-12-05 09:50:00-05:00,2025-12-05 10:10:00-05:00,233.086,235.25,100.0,216.39999999999873,EXIT_PROBABILITY_DROP,1,MU,5min,0.6,0.4,0.05,1.0
short,2025-12-01 10:00:00-05:00,2025-12-01 10:20:00-05:00,234.8775,236.192374,100.0,-131.48740000000032,EXIT_STOP_LOSS,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-01 10:30:00-05:00,2025-12-01 10:55:00-05:00,235.595,237.0346,100.0,-143.9600000000013,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-01 11:00:00-05:00,2025-12-01 11:25:00-05:00,236.51,236.19,100.0,31.999999999999318,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-01 14:05:00-05:00,2025-12-01 14:25:00-05:00,240.15,239.1808,100.0,96.92000000000007,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-02 09:30:00-05:00,2025-12-02 09:40:00-05:00,240.72,241.82,100.0,-109.99999999999943,EXIT_STOP_LOSS,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-02 10:10:00-05:00,2025-12-02 10:25:00-05:00,240.72,238.845,100.0,187.5,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-02 14:05:00-05:00,2025-12-02 14:40:00-05:00,239.95,239.165,100.0,78.49999999999966,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
long,2025-12-03 09:45:00-05:00,2025-12-03 10:35:00-05:00,230.25,235.385,100.0,513.4999999999991,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-03 13:20:00-05:00,2025-12-03 13:35:00-05:00,233.3252,232.675,100.0,65.01999999999839,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
long,2025-12-03 14:30:00-05:00,2025-12-03 15:25:00-05:00,232.39,233.925,100.0,153.5000000000025,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
long,2025-12-04 09:50:00-05:00,2025-12-04 10:40:00-05:00,224.75,226.24,100.0,149.0000000000009,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-04 12:50:00-05:00,2025-12-04 13:15:00-05:00,226.68,226.4061,100.0,27.38999999999976,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-05 09:35:00-05:00,2025-12-05 09:45:00-05:00,230.87,231.84,100.0,-96.99999999999989,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
long,2025-12-05 09:50:00-05:00,2025-12-05 10:10:00-05:00,233.086,235.25,100.0,216.39999999999873,EXIT_PROBABILITY_DROP,2,MU,5min,0.6,0.4,0.05,1.1
short,2025-12-01 10:00:00-05:00,2025-12-01 10:20:00-05:00,234.8775,236.192374,100.0,-131.48740000000032,EXIT_STOP_LOSS,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-01 10:30:00-05:00,2025-12-01 10:55:00-05:00,235.595,237.0346,100.0,-143.9600000000013,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-01 11:00:00-05:00,2025-12-01 11:25:00-05:00,236.51,236.19,100.0,31.999999999999318,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-01 14:05:00-05:00,2025-12-01 14:25:00-05:00,240.15,239.1808,100.0,96.92000000000007,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-02 09:30:00-05:00,2025-12-02 09:40:00-05:00,240.72,241.82,100.0,-109.99999999999943,EXIT_STOP_LOSS,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-02 10:10:00-05:00,2025-12-02 10:25:00-05:00,240.72,238.845,100.0,187.5,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-02 14:05:00-05:00,2025-12-02 14:40:00-05:00,239.95,239.165,100.0,78.49999999999966,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
long,2025-12-03 09:45:00-05:00,2025-12-03 10:35:00-05:00,230.25,235.385,100.0,513.4999999999991,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-03 13:25:00-05:00,2025-12-03 13:35:00-05:00,232.96,232.675,100.0,28.49999999999966,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
long,2025-12-03 14:30:00-05:00,2025-12-03 15:25:00-05:00,232.39,233.925,100.0,153.5000000000025,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
long,2025-12-04 09:50:00-05:00,2025-12-04 10:40:00-05:00,224.75,226.24,100.0,149.0000000000009,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-04 12:50:00-05:00,2025-12-04 13:15:00-05:00,226.68,226.4061,100.0,27.38999999999976,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-05 09:35:00-05:00,2025-12-05 09:45:00-05:00,230.87,231.84,100.0,-96.99999999999989,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
long,2025-12-05 09:50:00-05:00,2025-12-05 10:10:00-05:00,233.086,235.25,100.0,216.39999999999873,EXIT_PROBABILITY_DROP,3,MU,5min,0.6,0.4,0.05,1.2
short,2025-12-01 10:00:00-05:00,2025-12-01 10:20:00-05:00,234.8775,236.192374,100.0,-131.48740000000032,EXIT_STOP_LOSS,4,MU,5min,0.6,0.4,0.08,1.0
short,2025-12-01 10:30:00-05:00,2025-12-01 10:55:00-05:00,235.595,237.0346,100.0,-143.9600000000013,EXIT_PROBABILITY_DROP,4,MU,5min,0.6,0.4,0.08,1.0
short,2025-12-01 11:00:00-05:00,2025-12-01 11:25:00-05:00,236.51,236.19,100.0,31.999999999999318,EXIT_PROBABILITY_DROP,4,MU,5min,0.6,0.4,0.08,1.0
short,2025-12-01 14:05:00-05:00,2025-12-01 14:25:00-05:00,240.15,239.1808,100.0,96.92000000000007,EXIT_PROBABILITY_DROP,4,MU,5min,0.6,0.4,0.08,1.0
short,2025-12-01 15:10:00-05:00,2025-12-01 15:40:00-05:00,240.1745,240.65,100.0,-47.55000000000109,EXIT_PROBABILITY_DROP,4,MU,5min,0.6,0.4,0.08,1.0
short,2025-12-02 09:30:00-05:00,2025-12-02 09:40:00-05:00,240.72,241.82,100.0,-109.99999999999943,EXIT_STOP_LOSS,4,MU,5min,0.6,0.4,0.08,1.0
