file,bot_id,line_no,header_ts,header_tz,header_action,model,symbol,time_line,prob_up,prob_down,thresh_long_a,thresh_long_b,thresh_short_a,thresh_short_b,price_used_open,price_used_close,position_side,position_price,pnl,action,reason,executed
bot_450_TSLA_AlgoMM.log,450,2,2025-12-08 09:31:32,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_5min_k3.joblib,TSLA,2025-12-08 09:51:31 EST,0.456,0.544,0.55,0.5,0.45,0.5,447.09,446.08,LONG,447.22,-7.63,OPEN_LONG,PROBABILITY_DROP,False
bot_450_TSLA_AlgoMM.log,450,107,2025-12-08 09:56:30,EST,OPEN_SHORT,/var/www/stockwicks/models/mm2_TSLA_5min_k3.joblib,TSLA,2025-12-08 12:11:28 EST,0.545,0.455,0.55,0.5,0.45,0.5,437.92,437.71,SHORT,445.88,39.95,OPEN_SHORT,BOTH_PROBS_BELOW_THRESHOLDS,False
bot_450_TSLA_AlgoMM.log,450,695,2025-12-08 12:16:31,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_5min_k3.joblib,TSLA,2025-12-08 15:51:29 EST,0.61,0.39,0.55,0.5,0.45,0.5,437.66,438.1,LONG,437.39,3.57,OPEN_LONG,EXIT_CONDITIONS_NOT_MET,False
bot_453_TSLA_AlgoMM.log,453,2,2025-12-09 09:30:12,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_10min_k3.joblib,TSLA,2025-12-09 10:00:12 EST,0.429,0.571,0.55,0.5,0.45,0.5,444.53,444.5,LONG,437.59,53.66,OPEN_LONG,PROBABILITY_DROP,False
bot_453_TSLA_AlgoMM.log,453,86,2025-12-09 10:10:15,EST,OPEN_SHORT,/var/www/stockwicks/models/mm2_TSLA_10min_k3.joblib,TSLA,2025-12-09 10:20:07 EST,0.405,0.595,0.55,0.5,0.45,0.5,443.93,443.88,SHORT,443.37,-5.07,OPEN_SHORT,EXIT_CONDITIONS_NOT_MET,False
bot_460_TSLA_AlgoMM.log,460,2,2025-12-09 10:32:18,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_1min_k3.joblib,TSLA,2025-12-09 10:49:19 EST,0.508,0.492,0.55,0.5,0.45,0.5,445.93,446.02,LONG,445.14,1.6,OPEN_LONG,BOTH_PROBS_BELOW_THRESHOLDS,False
bot_460_TSLA_AlgoMM.log,460,380,2025-12-09 10:50:18,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_1min_k3.joblib,TSLA,2025-12-09 11:07:20 EST,0.532,0.468,0.55,0.5,0.45,0.5,448.03,448.01,LONG,446.35,32.29,OPEN_LONG,BOTH_PROBS_BELOW_THRESHOLDS,False
bot_460_TSLA_AlgoMM.log,460,758,2025-12-09 11:08:19,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_1min_k3.joblib,TSLA,2025-12-09 13:38:17 EST,0.54,0.46,0.55,0.5,0.45,0.5,449.6,449.54,LONG,447.6,63.4,OPEN_LONG,BOTH_PROBS_BELOW_THRESHOLDS,False
bot_460_TSLA_AlgoMM.log,460,3929,2025-12-09 13:39:19,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_1min_k3.joblib,TSLA,2025-12-09 13:46:17 EST,0.518,0.482,0.55,0.5,0.45,0.5,448.4,448.39,LONG,449.24,0.8,OPEN_LONG,BOTH_PROBS_BELOW_THRESHOLDS,False
bot_460_TSLA_AlgoMM.log,460,4097,2025-12-09 13:47:17,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_1min_k3.joblib,TSLA,2025-12-09 14:31:17 EST,0.487,0.513,0.55,0.5,0.45,0.5,449.22,449.14,LONG,448.29,13.4,OPEN_LONG,BOTH_PROBS_BELOW_THRESHOLDS,False
bot_460_TSLA_AlgoMM.log,460,5042,2025-12-09 14:32:17,EST,OPEN_SHORT,/var/www/stockwicks/models/mm2_TSLA_1min_k3.joblib,TSLA,2025-12-09 14:50:17 EST,0.525,0.475,0.55,0.5,0.45,0.5,447.99,448.06,SHORT,449.28,0.0,OPEN_SHORT,BOTH_PROBS_BELOW_THRESHOLDS,False
bot_460_TSLA_AlgoMM.log,460,5441,2025-12-09 14:51:18,EST,OPEN_LONG,/var/www/stockwicks/models/mm2_TSLA_1min_k3.joblib,TSLA,2025-12-09 15:52:18 EST,0.527,0.473,0.55,0.5,0.45,0.5,446.85,446.79,LONG,448.32,-0.13,OPEN_LONG,BOTH_PROBS_BELOW_THRESHOLDS,False
