"symbol","symbolName","weightedAlpha","currentRankUsTop100","previousRank","lastPrice","priceChange","percentChange","highPrice1y","lowPrice1y","percentChange1y","tradeTime"
"SNDK","Sandisk Corp","+1,636.34","1","1","1,589.40","+198.45","+14.27%","2,354.39","40.10","+3,719.75%","07/21/26"
"ERAS","Erasca Inc","+997.70","2","2","19.38","+0.56","+2.98%","24.28","1.33","+1,192.00%","07/21/26"
"MU","Micron Technology","+539.53","3","5","970.82","+105.36","+12.17%","1,255.00","103.38","+757.39%","07/21/26"
"WDC","Western Digital Corp","+514.36","4","7","548.39","+60.97","+12.51%","799.87","66.04","+697.77%","07/21/26"
"AXTI","Axt Inc","+510.45","5","8","56.51","+7.68","+15.73%","143.16","1.85","+2,335.78%","07/21/26"
"ORKA","Oruka Therapeutics Inc","+481.11","6","3","94.32","+2.61","+2.85%","97.78","12.84","+584.97%","07/21/26"
"ATEX","Anterix Inc.","+475.69","7","6","105.82","+3.92","+3.85%","113.00","17.58","+369.06%","07/21/26"
"STX","Seagate Technology Holdings","+447.47","8","9","891.83","+89.38","+11.14%","1,145.00","138.30","+496.02%","07/21/26"
"LITE","Lumentum Holdings","+423.05","9","11","837.56","+72.01","+9.41%","1,085.68","97.55","+706.59%","07/21/26"
"SYRE","Spyre Therapeutics Inc","+411.12","10","10","102.70","+5.37","+5.52%","105.09","14.51","+528.13%","07/21/26"
"DWSN","Dawson Geophscl","+367.57","11","13","4.70","+0.30","+6.82%","7.85","1.26","+224.14%","07/21/26"
"RLAY","Relay Therapeutics Inc","+364.60","12","12","19.30","+0.12","+0.63%","20.79","3.03","+431.68%","07/21/26"
"CHRN","Chronoscale Holdings Corp","+361.29","13","4","25.38","-3.51","-12.15%","30.00","2.91","+540.91%","07/21/26"
"SLGL","Sol-Gel Technologies Ltd","+327.66","14","16","89.74","+9.64","+12.03%","97.97","8.60","+965.80%","07/21/26"
"ICHR","Ichor Holdings Ltd","+317.44","15","21","95.85","+12.16","+14.53%","113.58","13.12","+324.12%","07/21/26"
"DNTH","Dianthus Therapeutics Inc","+314.66","16","14","105.72","+4.72","+4.67%","107.99","18.08","+409.74%","07/21/26"
"SLS","Sellas Life Sciences Group Inc","+302.33","17","15","12.90","+0.42","+3.41%","15.88","1.39","+597.30%","07/21/26"
"TSEM","Tower Semiconductor","+291.10","18","25","250.91","+23.70","+10.43%","319.94","43.12","+402.83%","07/21/26"
"CLYM","Climb Bio Inc","+290.91","19","18","13.10","+0.88","+7.20%","14.41","1.36","+829.08%","07/21/26"
"INTC","Intel Corp","+289.35","20","20","105.45","+8.39","+8.64%","142.35","18.97","+353.35%","07/21/26"
"TXG","10X Genomics Inc","+287.69","21","24","47.20","+3.98","+9.21%","47.25","11.16","+309.01%","07/21/26"
"ASX","Ase Industrial Holding Ltd ADR","+278.39","22","26","40.01","+3.11","+8.43%","45.51","9.30","+281.77%","07/21/26"
"NESR","National Energy Services Reunited Corp","+274.56","23","19","28.47","+1.24","+4.55%","30.31","6.01","+368.26%","07/21/26"
"LQDA","Liquidia Corp","+270.96","24","22","80.89","+3.81","+4.94%","82.96","15.12","+435.70%","07/21/26"
"AIP","Arteris Inc","+267.07","25","29","34.22","+3.54","+11.54%","50.26","8.42","+250.97%","07/21/26"
"UCTT","Ultra Clean Holdings","+266.16","26","36","105.15","+13.39","+14.59%","144.22","21.28","+321.95%","07/21/26"
"VSXY","Victorias Secret & Co.","+254.50","27","17","87.09","-0.32","-0.37%","89.71","18.04","+337.20%","07/21/26"
"BTSG","Brightspring Health Services Inc","+251.30","28","27","72.56","+2.06","+2.92%","73.40","19.01","+268.14%","07/21/26"
"CIEN","Ciena Corp","+250.29","29","30","408.73","+29.96","+7.91%","637.51","83.20","+378.21%","07/21/26"
"VPG","Vishay Precision Group","+248.78","30","34","112.42","+9.88","+9.64%","151.78","25.58","+302.51%","07/21/26"
"HUT","Hut 8 Corp","+245.38","31","32","108.98","+8.05","+7.98%","140.80","18.68","+410.68%","07/21/26"
"NBTX","Nanobiotix S.A. ADR","+243.58","32","38","39.42","+3.69","+10.33%","57.14","4.93","+671.43%","07/21/26"
"DRTS","Alpha Tau Medical Ltd Cl A","+241.41","33","23","13.32","-0.15","-1.11%","14.11","2.87","+346.98%","07/21/26"
"SIF","Sifco Industries","+240.16","34","31","24.31","+1.30","+5.65%","27.24","4.45","+387.66%","07/21/26"
"ACMR","Acm Research Inc","+237.74","35","58","95.27","+12.75","+15.45%","127.19","23.03","+213.39%","07/21/26"
"VIAV","Viavi Solutions","+228.13","36","45","43.02","+3.59","+9.10%","60.43","9.61","+318.48%","07/21/26"
"MKSI","Mks Inc","+227.71","37","37","345.44","+21.16","+6.53%","447.62","88.49","+234.28%","07/21/26"
"BE","Bloom Energy Corp Cl A","+226.44","38","70","226.26","+29.20","+14.82%","351.28","24.39","+792.19%","07/21/26"
"LASR","Nlight Inc","+225.96","39","51","75.23","+6.92","+10.13%","86.95","18.51","+285.01%","07/21/26"
"TER","Teradyne Inc","+224.39","40","57","374.04","+40.28","+12.07%","487.91","89.18","+294.47%","07/21/26"
"AEHR","Aehr Test Systems","+223.32","41","N/A","98.91","+21.55","+27.86%","126.62","15.94","+501.28%","07/21/26"
"ENLT","Enlight Renewable Energy Ltd","+222.60","42","28","89.51","+0.91","+1.03%","108.65","22.95","+249.51%","07/21/26"
"DFTX","Definium Therapeutics Inc","+219.66","43","39","45.08","+2.28","+5.33%","49.20","7.96","+353.07%","07/21/26"
"MAAS","Maase Inc ADR","+218.93","44","65","19.99","+2.06","+11.49%","24.90","2.85","+444.69%","07/21/26"
"UMC","United Microelectronics Corp ADR","+215.55","45","40","21.19","+0.89","+4.38%","28.96","6.56","+182.53%","07/21/26"
"TWST","Twist Bioscience Corp","+211.15","46","64","95.86","+8.41","+9.62%","105.47","23.30","+175.70%","07/21/26"
"DK","Delek US Holdings","+210.86","47","42","67.19","+2.55","+3.94%","67.31","19.81","+171.37%","07/21/26"
"NWPX","Nwpx Infrastructure Inc","+207.49","48","33","135.41","-0.77","-0.57%","152.03","40.01","+230.35%","07/21/26"
"ETON","Eton Pharmaceutcials Inc","+206.51","49","50","43.20","+2.13","+5.19%","43.76","13.78","+200.00%","07/21/26"
"AMD","Adv Micro Devices","+205.45","50","63","544.43","+40.86","+8.11%","584.73","149.22","+246.77%","07/21/26"
"ARWR","Arrowhead Pharma","+204.92","51","46","74.52","+2.87","+4.01%","87.83","14.30","+406.59%","07/21/26"
"KLIC","Kulicke and Soffa","+203.37","52","68","108.54","+8.48","+8.47%","135.80","31.32","+204.37%","07/21/26"
"ANRO","Alto Neuroscience Inc","+203.26","53","52","27.07","+1.17","+4.52%","28.85","2.72","+891.58%","07/21/26"
"BIOA","Bioage Labs Inc","+203.11","54","41","22.65","+0.33","+1.48%","25.95","4.11","+392.39%","07/21/26"
"VSAT","Viasat Inc","+200.14","55","60","73.69","+4.18","+6.01%","93.03","14.00","+397.57%","07/21/26"
